group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, 11-puzzle, "7 6 5 4 3 2 8 9 10 11 12 13 1 0 14 15", 2, 1232, 0.008561, 143908
X, dfid , 11puzzle , "11 10 1 2 3 12 15 13 4 5 6 7 8 9 0 14", na, na, na, na
X, dfid, 11-puzzle, "3 2 1 0 6 7 8 9 10 11 12 13 4 5 14 15", 2, 2521, 0.019395, 129982
X, dfid , 11puzzle , "13 4 15 6 7 12 10 3 5 1 9 2 11 14 0 8", na, na, na, na
X, dfid , 11puzzle , "14 7 0 5 13 4 10 15 12 6 2 8 3 9 11 1", na, na, na, na
X, dfid, 11-puzzle, "0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15", 2, 1331, 0.010034, 132649
X, dfid , 11puzzle , "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15", na, na, na, na
X, dfid , 11puzzle , "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9", na, na, na, na
X, dfid , 11puzzle , "6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0", na, na, na, na
X, dfid , 11puzzle , "13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14", na, na, na, na
X, dfid, 11-puzzle, "3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15", 3, 11269, 0.081929, 137546
X, dfid, 11-puzzle, "7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15", 2, 1523, 0.012336, 123460
X, dfid, 11-puzzle, "10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15", 3, 22518, 0.160487, 140310
X, dfid , 11puzzle , "12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15", na, na, na, na
X, dfid , 11puzzle , "4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6", na, na, na, na
X, dfid , 11puzzle , "5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4", na, na, na, na
X, dfid, 11-puzzle, "3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15", 3, 31622, 0.216526, 146043
X, dfid, 11-puzzle, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 1, 44, 0.000371, 118598
X, dfid, 11-puzzle, "6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4", 3, 41603, 0.285597, 145670
X, dfid, 11-puzzle, "15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12", 3, 47078, 0.311957, 150912
X, dfid , 11puzzle , "12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15", na, na, na, na
X, dfid, 11-puzzle, "11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0", 3, 19864, 0.14846, 133800
X, dfid , 11puzzle , "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7", na, na, na, na
X, dfid, 11-puzzle, "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15", 3, 14677, 0.10649, 137825
X, dfid, 11-puzzle, "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15", 1, 93, 0.00075, 124000
X, dfid , 11puzzle , "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11", na, na, na, na
X, dfid, 11-puzzle, "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15", 5, 1486581, 10.5795, 140515
X, dfid, 11-puzzle, "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15", 2, 1900, 0.014262, 133221
X, dfid , 11puzzle , "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15", na, na, na, na
X, dfid , 11puzzle , "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13", na, na, na, na
X, dfid , 11puzzle , "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15", na, na, na, na
X, dfid , 11puzzle , "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1", na, na, na, na
X, dfid, 11-puzzle, "5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15", 1, 21, 0.000146, 143836
X, dfid, 11-puzzle, "7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15", 1, 39, 0.000574, 67944.3
X, dfid, 11-puzzle, "6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15", 1, 94, 0.000781, 120359
X, dfid, 11-puzzle, "1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15", 1, 81, 0.00112, 72321.4
X, dfid, 11-puzzle, "13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15", 2, 2839, 0.017252, 164561
X, dfid , 11puzzle , "15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5", na, na, na, na
X, dfid , 11puzzle , "4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12", na, na, na, na
X, dfid , 11puzzle , "14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0", na, na, na, na
X, dfid , 11puzzle , "0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15", na, na, na, na
X, dfid , 11puzzle , "13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4", na, na, na, na
X, dfid, 11-puzzle, "10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15", 1, 158, 0.001173, 134697
X, dfid , 11puzzle , "14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15", na, na, na, na
X, dfid, 11-puzzle, "0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15", 3, 40118, 0.278194, 144209
