group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid , 11puzzle , "1 0 11 12 10 9 2 3 4 5 13 14 15 8 7 6", na, na, na, na
X, dfid , 11puzzle , "4 5 11 12 13 14 3 2 6 7 8 9 10 0 1 15", na, na, na, na
X, dfid , 11puzzle , "15 7 12 0 1 5 8 4 11 10 6 3 2 13 9 14", na, na, na, na
X, dfid , 11puzzle , "1 7 11 4 3 10 8 5 12 2 13 9 15 6 0 14", na, na, na, na
X, dfid , 11puzzle , "5 3 13 4 14 8 15 0 1 6 7 12 11 2 9 10", na, na, na, na
X, dfid , 11puzzle , "13 12 8 1 3 9 15 14 11 5 2 6 7 0 4 10", na, na, na, na
X, dfid , 11puzzle , "8 2 1 6 9 10 4 3 11 12 0 15 14 13 5 7", na, na, na, na
X, dfid , 11puzzle , "12 14 4 10 1 9 2 5 8 6 0 3 15 7 11 13", na, na, na, na
X, dfid , 11puzzle , "13 9 10 11 7 3 2 12 8 6 5 4 0 1 14 15", na, na, na, na
X, dfid , 11puzzle , "3 6 12 1 7 13 11 5 0 14 15 10 9 8 2 4", na, na, na, na
X, dfid, 11-puzzle, "15 14 13 12 11 10 9 8 0 1 2 3 4 5 7 6", 2, 3201, 0.02267, 141200
X, dfid, 11-puzzle, "5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15", 1, 53, 0.000458, 115721
X, dfid , 11puzzle , "1 2 3 13 14 12 4 0 5 6 7 8 9 10 11 15", na, na, na, na
X, dfid, 11-puzzle, "0 1 2 3 4 5 8 9 10 11 12 13 7 6 14 15", 3, 40178, 0.292261, 137473
X, dfid , 11puzzle , "0 4 11 10 9 5 6 13 15 3 2 12 8 1 14 7", na, na, na, na
X, dfid , 11puzzle , "0 1 8 5 6 7 12 11 10 4 2 3 9 13 14 15", na, na, na, na
X, dfid, 11-puzzle, "10 11 9 8 7 6 0 5 1 2 3 4 12 13 14 15", 4, 74731, 0.530261, 140932
X, dfid , 11puzzle , "8 10 6 12 3 14 15 9 4 13 7 0 11 2 1 5", na, na, na, na
X, dfid , 11puzzle , "5 9 14 8 2 6 4 3 7 13 12 10 11 15 1 0", na, na, na, na
X, dfid , 11puzzle , "13 14 12 0 1 4 7 8 11 10 9 3 2 6 5 15", na, na, na, na
X, dfid, 11-puzzle, "12 11 10 9 8 4 3 2 1 0 5 6 7 13 14 15", 2, 2656, 0.017124, 155104
X, dfid, 11-puzzle, "7 6 5 4 3 8 9 10 11 12 2 1 0 13 14 15", 2, 990, 0.011334, 87347.8
X, dfid , 11puzzle , "5 11 7 13 12 8 1 0 2 10 9 4 14 6 15 3", na, na, na, na
X, dfid , 11puzzle , "7 12 8 3 15 2 6 10 9 0 14 13 1 11 5 4", na, na, na, na
X, dfid , 11puzzle , "1 0 9 10 5 8 7 11 6 2 3 4 12 13 14 15", na, na, na, na
X, dfid , 11puzzle , "11 0 14 10 5 2 13 8 12 3 6 7 15 1 9 4", na, na, na, na
X, dfid , 11puzzle , "1 2 0 13 6 11 14 15 8 9 5 3 4 10 12 7", na, na, na, na
X, dfid , 11puzzle , "3 1 6 4 7 0 2 12 15 10 14 13 5 11 9 8", na, na, na, na
X, dfid , 11puzzle , "13 12 2 15 11 1 9 5 3 4 14 10 0 7 6 8", na, na, na, na
X, dfid , 11puzzle , "4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7", na, na, na, na
X, dfid , 11puzzle , "9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2", na, na, na, na
X, dfid , 11puzzle , "2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15", na, na, na, na
X, dfid , 11puzzle , "9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14", na, na, na, na
X, dfid , 11puzzle , "11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0", na, na, na, na
X, dfid, 11-puzzle, "15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7", 3, 46418, 0.729091, 63665.6
X, dfid, 11-puzzle, "12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15", 1, 186, 0.002653, 70109.3
X, dfid , 11puzzle , "11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9", na, na, na, na
X, dfid, 11-puzzle, "7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 0, 7, 5e-05, 140000
X, dfid, 11-puzzle, "6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15", 5, 1022801, 15.5934, 65592.1
X, dfid, 11-puzzle, "11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15", 2, 2387, 0.041028, 58179.8
X, dfid , 11puzzle , "2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15", na, na, na, na
X, dfid, 11-puzzle, "13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15", 1, 205, 0.003402, 60258.7
X, dfid, 11-puzzle, "12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 1, 28, 0.000394, 71066
X, dfid, 11-puzzle, "2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15", 1, 146, 0.001968, 74187
X, dfid , 11puzzle , "5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2", na, na, na, na
