group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, 11-puzzle, "2 1 0 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 2, 7e-05, 28571.4
group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, 11-puzzle, "2 1 0 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 2, 6.3e-05, 31746
group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, 11-puzzle, "2 1 0 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 2, 5.6e-05, 35714.3
X, dfid, 11-puzzle, "3 2 1 0 4 5 6 7 8 9 10 11 12 13 14 15", 0, 3, 6.6e-05, 45454.5
group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, 11-puzzle, "2 1 0 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 2, 3.8e-05, 52631.6
X, dfid, 11-puzzle, "3 2 1 0 4 5 6 7 8 9 10 11 12 13 14 15", 0, 3, 4.4e-05, 68181.8
