group, algorithm, domain, instance, cost, generated, time, states for sec 
X, dfid, pancake16, "15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13", na, na, na, na
X, dfid, pancake16, "9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10", na, na, na, na
X, dfid, pancake16, "1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8", na, na, na, na
X, dfid, pancake16, "3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2", 3, 36294, 0.274926, 132014
X, dfid, pancake16, "4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15", na, na, na, na
X, dfid, pancake16, "1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10", na, na, na, na
X, dfid, pancake16, "14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11", na, na, na, na
X, dfid, pancake16, "11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15", 3, 9488, 0.066739, 142166
X, dfid, pancake16, "14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0", 5, 883320, 6.29536, 140313
X, dfid, pancake16, "13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 0, 13, 9.3e-05, 139785
X, dfid, pancake16, "4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10", na, na, na, na
X, dfid, pancake16, "5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11", 3, 29921, 0.217197, 137760
X, dfid, pancake16, "1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15", na, na, na, na
X, dfid, pancake16, "4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15", 1, 20, 0.000113, 176991
X, dfid, pancake16, "9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15", 3, 5157, 0.034622, 148952
X, dfid, pancake16, "5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15", 3, 17344, 0.117115, 148094
X, dfid, pancake16, "15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13", na, na, na, na
X, dfid, pancake16, "6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15", 2, 1352, 0.009995, 135268
X, dfid, pancake16, "3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15", 4, 216665, 1.51875, 142660
X, dfid, pancake16, "7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15", 2, 785, 0.007205, 108952
X, dfid, pancake16, "15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9", na, na, na, na
X, dfid, pancake16, "2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15", na, na, na, na
X, dfid, pancake16, "9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15", na, na, na, na
X, dfid, pancake16, "10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2", na, na, na, na
X, dfid, pancake16, "2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15", 2, 856, 0.010851, 78886.7
X, dfid, pancake16, "4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15", na, na, na, na
X, dfid, pancake16, "3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15", na, na, na, na
X, dfid, pancake16, "6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 1, 22, 0.000231, 95238.1
X, dfid, pancake16, "0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13", na, na, na, na
X, dfid, pancake16, "10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15", na, na, na, na
X, dfid, pancake16, "15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2", 1, 228, 0.001712, 133178
X, dfid, pancake16, "1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15", 1, 193, 0.002618, 73720.4
X, dfid, pancake16, "7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15", 3, 22214, 0.150483, 147618
X, dfid, pancake16, "3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4", na, na, na, na
X, dfid, pancake16, "1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15", 3, 4754, 0.033251, 142973
X, dfid, pancake16, "10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11", na, na, na, na
X, dfid, pancake16, "3 4 5 6 7 1 12 11 8 9 2 0 10 13 14 15", na, na, na, na
X, dfid, pancake16, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 1, 44, 0.000381, 115486
X, dfid, pancake16, "0 1 2 3 9 8 10 11 12 13 14 15 4 5 6 7", na, na, na, na
